BookID,BookName,BookGenre,BookPrice,BookAuthor,BookReleaseYear
1,Rainbow Valley,Musical,913000,Aluin Keneford,1994
2,Dial M for Murder,Musical,680000,Cynde Lumber,2001
3,Fear City,Comedy,125000,Merilyn McKinna,1995
4,Enthusiasm (Entuziazm: Simfoniya Donbassa),Musical,586000,Yoko Duplan,1993
5,Sherlock Jr.,Comedy,54000,Carline Espinal,1978
6,Big Boys Gone Bananas!*,Drama,494000,Liuka Weatherhead,2010
7,"Remains of the Day, The",Adventure,511000,Dedra Degoey,1952
8,Vinyl,Thriller,743000,Darcey Shiels,1976
9,"Dog's Life, A",Documentary,898500,Jennette Seefeldt,2006
10,Something Like Happiness (Stestí),Horror,593500,Lucinda Iddens,2005
11,"Man Who Sued God, The",Documentary,143500,Larine Cornau,1956
12,Cosas que nunca te dije (Things I Never Told You),Horror,232500,Carine Deplacido,2009
13,"Day the Earth Caught Fire, The",Horror,175000,Otho Rakestraw,1964
14,Camp,Action,558500,Jack Parriss,2002
15,Rated X,Thriller,406000,Earle Trowel,2009
16,Kino-Eye (Kinoglaz),Horror,351500,Chariot Butchard,1956
17,"Canyon, The",Psychological,171000,Jackson Fiddler,2015
18,Betsy's Wedding,Romance,381000,Aleen Konert,1981
19,Special Bulletin,Adventure,755000,Ema Smalcombe,1960
20,Perfect Stranger,Adventure,133000,Cami Websdale,1996
21,K-11,Drama,127000,Nap Dallon,1965
22,American Teen,Action,509500,Rosalyn Evreux,2012
23,Save Me,Action,743500,Angelika Mathewson,2016
24,Girlfight,Psychological,937500,Constantino Brimilcome,1968
25,"Riddle of the Sands, The",Horror,715000,Gwendolyn Rickertsen,1976
26,Bratz: The Movie,Documentary,294500,Roxine Putt,2017
27,Thirteen Conversations About One Thing (a.k.a. 13 Conversations),Adventure,495000,Mordecai Hollow,1977
28,Synthetic Pleasures,Action,809000,Cyndy Grange,2020
29,"Lonely Villa, The",Drama,358500,Andrew D'orsay,1969
30,"Goodbye, 20th Century",Thriller,165000,Hillary Vinnick,1952
