RentID,RentDate,StaffID,LibrarianID,Payment
1,2002-12-02,127,1843,Emoney
2,2000-03-18,54,1824,Emoney
3,2005-05-03,51,1276,Debit
4,2014-09-23,82,495,Debit
5,1995-05-01,158,205,Debit
6,1998-11-11,96,541,Credit
7,2007-04-05,87,1802,Credit
8,2016-11-12,101,1578,Cash
9,2008-01-25,60,109,Cash
10,2001-12-09,11,842,Credit
11,1998-07-27,7,1449,Cash
12,2008-08-26,196,72,Credit
13,2000-02-01,101,552,Debit
14,2008-07-01,38,1405,Emoney
15,2008-03-19,16,346,Debit
16,2014-05-29,8,1154,Cash
17,2002-08-07,10,1443,Emoney
18,2019-10-03,147,487,Credit
19,2016-10-22,27,551,Credit
20,2019-07-12,141,203,Emoney
21,1999-08-28,193,1601,Debit
22,2001-07-09,3,977,Emoney
23,2003-02-26,151,268,Debit
24,2003-06-20,163,1497,Emoney
25,2020-08-13,28,1863,Emoney
26,2001-09-10,77,1450,Credit
27,2014-04-13,8,34,Emoney
28,2015-11-26,65,1420,Emoney
29,1997-11-20,82,574,Emoney
30,2002-04-20,148,1912,Debit
31,2009-11-20,154,1845,Emoney
32,1996-05-07,82,1277,Credit
33,2008-10-21,176,555,Emoney
34,2009-02-27,9,650,Emoney
35,1998-12-20,116,1954,Credit
36,2015-11-01,41,1324,Credit
37,2011-09-08,82,500,Debit
38,2000-12-15,89,1533,Debit
39,2017-08-17,91,655,Cash
40,2000-04-02,169,1940,Cash
41,2001-03-31,115,1409,Credit
42,2011-03-03,177,1166,Credit
43,2008-03-16,168,157,Cash
44,2005-05-08,99,1709,Emoney
45,2012-09-14,64,1394,Cash
46,2015-04-27,100,41,Emoney
47,1995-07-09,137,1540,Emoney
48,2012-04-08,57,1421,Cash
49,2006-02-01,68,1840,Emoney
50,2004-07-17,62,485,Emoney
51,2003-05-31,186,1016,Credit
52,2002-04-01,66,592,Credit
53,2018-11-13,36,417,Credit
54,2015-10-26,26,1168,Debit
55,2016-01-17,10,79,Emoney
56,2003-08-20,129,428,Cash
57,2013-06-25,65,427,Debit
58,2020-12-18,82,1059,Credit
59,1998-12-31,121,1431,Credit
60,2016-02-24,93,1834,Debit
61,2008-06-09,8,1456,Cash
62,2014-07-31,141,96,Debit
63,2001-04-23,110,12,Cash
64,2011-06-07,150,1026,Debit
65,2010-11-20,153,930,Cash
66,2006-05-05,116,1929,Debit
67,1997-04-20,173,144,Credit
68,2006-09-08,196,1583,Debit
69,1998-07-11,129,6,Cash
70,1995-06-25,122,1550,Credit
71,2016-07-22,150,1112,Credit
72,2005-12-20,149,31,Credit
73,2008-07-06,31,63,Debit
74,1997-01-29,137,1891,Credit
75,2002-11-04,179,844,Debit
76,2005-10-08,58,528,Debit
77,2017-05-03,152,1619,Emoney
78,2003-10-17,119,852,Credit
79,2005-07-03,67,1842,Cash
